ItemID,CreatedBySpell,Mat1,Mat1Qty,Mat2,Mat2Qty,Mat3,Mat3Qty,Mat4,Mat4Qty,Mat5,Mat5Qty,Mat6,Mat6Qty,Mat7,Mat7Qty,Mat8,Mat8Qty
118,2330,2447,1,765,1,3371,1,0,0,0,0,0,0,0,0,0,0
724,2542,723,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
733,2543,769,1,159,1,0,0,0,0,0,0,0,0,0,0,0,0
858,2337,118,1,2450,1,0,0,0,0,0,0,0,0,0,0,0,0
929,3447,2453,1,2450,1,3371,1,0,0,0,0,0,0,0,0,0,0
954,58484,39354,1,39469,1,0,0,0,0,0,0,0,0,0,0,0,0
955,48114,39354,1,39469,1,0,0,0,0,0,0,0,0,0,0,0,0
1017,2549,1015,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1082,2547,1080,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1180,45382,39354,1,39469,1,0,0,0,0,0,0,0,0,0,0,0,0
1181,48116,39354,1,39469,1,0,0,0,0,0,0,0,0,0,0,0,0
1251,3275,2589,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1477,58473,39354,1,39774,1,0,0,0,0,0,0,0,0,0,0,0,0
1710,7181,3357,1,3356,1,3371,1,0,0,0,0,0,0,0,0,0,0
1711,50612,39354,1,39774,1,0,0,0,0,0,0,0,0,0,0,0,0
1712,50605,39354,1,39774,1,0,0,0,0,0,0,0,0,0,0,0,0
2289,58485,39354,1,39774,1,0,0,0,0,0,0,0,0,0,0,0,0
2290,50598,39354,1,39774,1,0,0,0,0,0,0,0,0,0,0,0,0
2300,2160,2318,8,2320,4,0,0,0,0,0,0,0,0,0,0,0,0
2302,2149,2318,2,2320,1,0,0,0,0,0,0,0,0,0,0,0,0
2303,2153,2318,4,2320,1,0,0,0,0,0,0,0,0,0,0,0,0
2304,2152,2318,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2307,2158,2318,7,2320,2,0,0,0,0,0,0,0,0,0,0,0,0
2308,2159,2318,10,2321,2,0,0,0,0,0,0,0,0,0,0,0,0
2309,2161,2318,8,2320,5,0,0,0,0,0,0,0,0,0,0,0,0
2310,2162,2318,5,2320,2,0,0,0,0,0,0,0,0,0,0,0,0
2311,2163,2318,8,2320,2,2324,1,0,0,0,0,0,0,0,0,0,0
2312,2164,4231,1,2318,4,2320,2,0,0,0,0,0,0,0,0,0,0
2313,2165,2319,4,2320,1,0,0,0,0,0,0,0,0,0,0,0,0
2314,2166,2319,10,4231,6,2321,2,0,0,0,0,0,0,0,0,0,0
2315,2167,2319,4,2321,2,4340,1,0,0,0,0,0,0,0,0,0,0
2316,2168,2319,8,2321,1,4340,1,0,0,0,0,0,0,0,0,0,0
2317,2169,2319,6,2321,1,4340,1,0,0,0,0,0,0,0,0,0,0
2454,2329,2449,1,765,1,3371,1,0,0,0,0,0,0,0,0,0,0
2455,2331,785,1,765,1,3371,1,0,0,0,0,0,0,0,0,0,0
2456,2332,785,2,2447,1,3371,1,0,0,0,0,0,0,0,0,0,0
2457,3230,2452,1,765,1,3371,1,0,0,0,0,0,0,0,0,0,0
2458,2334,2449,2,2447,1,3371,1,0,0,0,0,0,0,0,0,0,0
2459,2335,2452,1,2450,1,3371,1,0,0,0,0,0,0,0,0,0,0
2568,2385,2996,1,2320,1,0,0,0,0,0,0,0,0,0,0,0,0
2569,2386,2996,3,2320,1,2318,1,0,0,0,0,0,0,0,0,0,0
2570,2387,2996,1,2320,1,0,0,0,0,0,0,0,0,0,0,0,0
2572,2389,2996,3,2320,2,2604,2,0,0,0,0,0,0,0,0,0,0
2575,2392,2996,2,2320,1,2604,1,0,0,0,0,0,0,0,0,0,0
2576,2393,2996,1,2320,1,2324,1,0,0,0,0,0,0,0,0,0,0
2577,2394,2996,2,2320,1,6260,1,0,0,0,0,0,0,0,0,0,0
2578,2395,2996,4,2318,1,2321,1,0,0,0,0,0,0,0,0,0,0
2579,2396,2996,3,2321,1,2605,1,0,0,0,0,0,0,0,0,0,0
2580,2397,2996,2,2320,3,0,0,0,0,0,0,0,0,0,0,0,0
2581,3276,2589,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2582,2399,2997,2,2321,2,2605,1,0,0,0,0,0,0,0,0,0,0
2583,2401,2997,4,2321,2,2318,2,0,0,0,0,0,0,0,0,0,0
2584,2402,2997,1,2321,1,0,0,0,0,0,0,0,0,0,0,0,0
2585,2403,2997,4,2321,3,4340,1,0,0,0,0,0,0,0,0,0,0
2587,2406,2997,2,2321,1,4340,1,0,0,0,0,0,0,0,0,0,0
2679,2538,2672,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2680,2539,2672,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2681,2540,769,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2682,2545,2675,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2683,2544,2674,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2684,2541,2673,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
